Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [5.1s] 30888 bytes, 206 packets decoded
  [5.1s] 30952 bytes, 206 packets decoded
  [5.1s] 31016 bytes, 207 packets decoded
  [5.1s] 31080 bytes, 207 packets decoded
  [5.1s] 31144 bytes, 208 packets decoded
  [5.1s] 31208 bytes, 208 packets decoded
  [5.1s] 31272 bytes, 208 packets decoded
  [5.1s] 31336 bytes, 208 packets decoded
  [5.1s] 31400 bytes, 209 packets decoded
  [5.1s] 31464 bytes, 209 packets decoded
  [5.1s] 31528 bytes, 209 packets decoded
  [5.1s] 31592 bytes, 210 packets decoded
  [5.1s] 31656 bytes, 210 packets decoded
  [5.1s] 31720 bytes, 210 packets decoded
  [5.1s] 31784 bytes, 210 packets decoded
  [5.1s] 31848 bytes, 210 packets decoded
  [5.1s] 31912 bytes, 210 packets decoded
  [5.1s] 31976 bytes, 210 packets decoded
  [5.1s] 32040 bytes, 210 packets decoded
  [5.1s] 32104 bytes, 210 packets decoded
  [5.1s] 32168 bytes, 210 packets decoded
  [5.1s] 32232 bytes, 211 packets decoded
  [5.1s] 32296 bytes, 212 packets decoded
  [5.1s] 32360 bytes, 213 packets decoded
  [5.1s] 32424 bytes, 213 packets decoded
  [5.1s] 32488 bytes, 214 packets decoded
  [5.1s] 32552 bytes, 215 packets decoded
  [5.1s] 32616 bytes, 216 packets decoded
  [5.1s] 32680 bytes, 216 packets decoded
  [5.1s] 32744 bytes, 217 packets decoded
  [5.1s] 32808 bytes, 218 packets decoded
  [5.1s] 32872 bytes, 218 packets decoded
  [5.1s] 32936 bytes, 219 packets decoded
  [5.1s] 33000 bytes, 219 packets decoded
  [5.1s] 33064 bytes, 219 packets decoded
  [5.1s] 33128 bytes, 219 packets decoded
  [5.1s] 33192 bytes, 220 packets decoded
  [5.1s] 33256 bytes, 220 packets decoded
  [5.1s] 33320 bytes, 221 packets decoded
  [5.1s] 33384 bytes, 221 packets decoded
  [5.1s] 33448 bytes, 222 packets decoded
  [5.1s] 33512 bytes, 222 packets decoded
  [5.1s] 33576 bytes, 222 packets decoded
  [5.1s] 33640 bytes, 222 packets decoded
  [5.1s] 33704 bytes, 222 packets decoded
  [5.1s] 33768 bytes, 222 packets decoded
  [5.1s] 33832 bytes, 223 packets decoded
  [5.1s] 33896 bytes, 223 packets decoded
  [5.1s] 33960 bytes, 224 packets decoded
  [5.1s] 34024 bytes, 224 packets decoded
  [5.1s] 34088 bytes, 224 packets decoded
  [5.1s] 34152 bytes, 224 packets decoded
  [5.1s] 34216 bytes, 224 packets decoded
  [5.1s] 34280 bytes, 224 packets decoded
  [5.1s] 34344 bytes, 224 packets decoded
  [5.1s] 34408 bytes, 225 packets decoded
