PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=209 ttl=116 time=37.0 ms
1408 bytes from 8.8.8.8: icmp_seq=210 ttl=116 time=43.7 ms
1408 bytes from 8.8.8.8: icmp_seq=211 ttl=116 time=30.3 ms
1408 bytes from 8.8.8.8: icmp_seq=212 ttl=116 time=26.3 ms
1408 bytes from 8.8.8.8: icmp_seq=213 ttl=116 time=40.1 ms
1408 bytes from 8.8.8.8: icmp_seq=214 ttl=116 time=38.0 ms
1408 bytes from 8.8.8.8: icmp_seq=215 ttl=116 time=37.3 ms
1408 bytes from 8.8.8.8: icmp_seq=216 ttl=116 time=30.4 ms
1408 bytes from 8.8.8.8: icmp_seq=217 ttl=116 time=35.3 ms
1408 bytes from 8.8.8.8: icmp_seq=218 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=219 ttl=116 time=28.4 ms
1408 bytes from 8.8.8.8: icmp_seq=220 ttl=116 time=56.0 ms
1408 bytes from 8.8.8.8: icmp_seq=221 ttl=116 time=25.5 ms
1408 bytes from 8.8.8.8: icmp_seq=222 ttl=116 time=26.4 ms
1408 bytes from 8.8.8.8: icmp_seq=223 ttl=116 time=25.0 ms
1408 bytes from 8.8.8.8: icmp_seq=224 ttl=116 time=27.1 ms
1408 bytes from 8.8.8.8: icmp_seq=225 ttl=116 time=26.1 ms
1408 bytes from 8.8.8.8: icmp_seq=226 ttl=116 time=25.5 ms
1408 bytes from 8.8.8.8: icmp_seq=227 ttl=116 time=40.2 ms
1408 bytes from 8.8.8.8: icmp_seq=228 ttl=116 time=27.9 ms
1408 bytes from 8.8.8.8: icmp_seq=229 ttl=116 time=39.1 ms
1408 bytes from 8.8.8.8: icmp_seq=230 ttl=116 time=36.0 ms
1408 bytes from 8.8.8.8: icmp_seq=231 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=232 ttl=116 time=38.2 ms
1408 bytes from 8.8.8.8: icmp_seq=233 ttl=116 time=37.0 ms
1408 bytes from 8.8.8.8: icmp_seq=234 ttl=116 time=29.2 ms
